Secs,IMUok,IMUcal,roll,pitch,yaw,accLong,accTrans,accVert,DVLok,Vbow,Vstar,Vport,Vstern,Rbow,Rstar,Rport,Rstern,Sbow,Sstar,Sport,Sstern
0.050000,0,x,-1.173679,-4.468218,200.758788,0.640000,-0.110000,-0.230000,-0.230000,0.133065,-0.046572,-0.004707,-0.146328,1.184346,1.227154,1.241423,1.255692,L,L,L,L,
0.050000,0,x,-1.215360,-4.531192,200.669053,0.290000,-0.040000,-0.090000,-0.090000,0.111816,-0.105636,0.130201,-0.192045,1.170077,1.227154,1.241423,1.241423,L,L,L,L,
0.050000,0,x,-1.303793,-4.544825,200.524308,0.120000,0.100000,-0.230000,-0.230000,0.140818,-0.015731,0.047329,-0.294718,1.198615,1.227154,1.227154,1.269961,L,L,L,L,
0.050000,0,x,-1.340664,-4.455678,200.346300,0.460000,0.050000,-0.290000,-0.290000,0.228358,-0.125257,0.124141,-0.103573,1.170077,1.255692,1.269961,1.255692,L,L,L,L,
0.050000,0,x,-1.370498,-4.436936,200.204491,0.620000,0.200000,-0.120000,-0.120000,0.040669,0.197661,0.036273,-0.158040,1.184346,1.298500,1.269961,1.241423,L,L,L,L,
0.050000,0,x,-1.334612,-4.499801,200.104893,0.570000,0.120000,0.230000,0.230000,0.065694,-0.064309,0.027125,-0.189392,1.184346,1.212885,1.269961,1.255692,L,L,L,L,
0.050000,0,x,-1.340113,-4.485129,200.026674,0.400000,0.260000,0.060000,0.060000,0.170668,-0.051685,0.011185,-0.137111,1.212885,1.227154,1.241423,1.255692,L,L,L,L,
0.050000,0,x,-1.324220,-4.388387,199.952348,0.420000,0.330000,-0.080000,-0.080000,0.094143,-0.061458,0.113131,-0.147995,1.212885,1.212885,1.241423,2.425769,L,L,L,L,
0.050000,0,x,-1.313178,-4.221921,199.885562,0.250000,0.060000,-0.300000,-0.300000,0.041867,-0.088074,0.027391,-0.099119,1.227154,1.255692,1.255692,1.255692,L,L,L,L,
0.050000,0,x,-1.318290,-4.213698,199.778615,0.090000,-0.040000,-0.360000,-0.360000,0.141753,-0.045814,0.019560,-0.300054,1.184346,1.241423,1.241423,1.212885,L,L,L,L,
0.050000,0,x,-1.294563,-4.129359,199.655959,0.380000,0.000000,-0.340000,-0.340000,0.144885,-0.095962,0.092290,-0.238287,1.212885,1.255692,1.227154,1.284231,L,L,L,L,
0.050000,0,x,-1.357292,-4.031905,199.556935,0.200000,0.020000,-0.150000,-0.150000,0.107559,-0.059056,0.045322,-0.205135,1.170077,1.212885,1.227154,1.284231,L,L,L,L,
0.050000,0,x,-1.400308,-3.845332,199.434169,0.180000,0.110000,-0.070000,-0.070000,0.168447,-0.104983,0.011394,-0.123120,1.155808,1.212885,1.269961,1.227154,L,L,L,L,
0.050000,0,x,-1.451078,-3.702089,199.270682,0.450000,-0.190000,-0.140000,-0.140000,0.105442,-0.017011,-0.035821,-0.369759,1.170077,1.212885,1.269961,4.223692,L,L,L,L,
0.050000,0,x,-1.465630,-3.772358,199.101771,0.340000,-0.070000,0.170000,0.170000,0.106640,-0.110670,0.104596,-0.063462,1.212885,1.269961,1.227154,1.255692,L,L,L,L,
0.050000,0,x,-1.475165,-3.840879,198.883219,0.190000,0.010000,-0.490000,-0.490000,0.163612,-0.123170,0.016540,-0.100446,1.212885,1.227154,1.255692,1.241423,L,L,L,L,
0.050000,0,x,-1.506172,-3.791373,198.607470,0.120000,0.290000,-0.260000,-0.260000,0.143759,-0.066876,-0.031170,-0.182407,1.212885,1.241423,1.255692,1.255692,L,L,L,L,
